title,link,category,description,telephone,address,roadAddress,mapx,mapy,search_input,split_list,input_search,stores_url,file_names
스타벅스 용인마북DT점,http://www.starbucks.co.kr/,"카페,디저트>카페",,,경기도 용인시 기흥구 마북동 502-152,경기도 용인시 기흥구 용구대로 2330,321315,521800,경기도 용인시 기흥구 마북동 다방,카페,경기도 용인시 기흥구 마북동 스타벅스 용인마북DT점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20스타벅스%20용인마북DT점&sm=hty&style=v5#/list,스타벅스 용인마북DT점.jpg
자미당 수지구청점,,"카페,디저트>베이커리",,,경기도 용인시 수지구 풍덕천동 703,경기도 용인시 수지구 수지로342번길 27,320139,525309,경기도 용인시 기흥구 마북동 도넛,베이커리,경기도 용인시 기흥구 마북동 자미당 수지구청점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20자미당%20수지구청점&sm=hty&style=v5#/list,자미당 수지구청점.jpg
경성찹쌀꽈배기 수지구청점,,"음식점>카페,디저트>베이커리",,,경기도 용인시 수지구 풍덕천동 718-3,경기도 용인시 수지구 풍덕천로 136,320139,525000,경기도 용인시 기흥구 마북동 도넛,베이커리,경기도 용인시 기흥구 마북동 경성찹쌀꽈배기 수지구청점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20경성찹쌀꽈배기%20수지구청점&sm=hty&style=v5#/list,경성찹쌀꽈배기 수지구청점.jpg
비켄드,,"음식점>카페,디저트",,,경기도 용인시 기흥구 마북동 475-1 1층 카페 비켄드,경기도 용인시 기흥구 용구대로 2370 1층 카페 비켄드,321186,522161,경기도 용인시 기흥구 마북동 디저트,"카페,디저트",경기도 용인시 기흥구 마북동 비켄드,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20비켄드&sm=hty&style=v5#/list,비켄드.jpg
사운드오브캠핑,https://blog.naver.com/soundofcamping,"음식점>카페,디저트",,,경기도 용인시 기흥구 마북동 502-24 사운드오브캠핑,경기도 용인시 기흥구 용구대로2325번길 48 사운드오브캠핑,320886,521929,경기도 용인시 기흥구 마북동 디저트,"카페,디저트",경기도 용인시 기흥구 마북동 사운드오브캠핑,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20사운드오브캠핑&sm=hty&style=v5#/list,사운드오브캠핑.jpg
민가,https://www.instagram.com/cafeminga,"음식점>카페,디저트",,,경기도 용인시 기흥구 마북동 9-6 1층 민가(珉家),경기도 용인시 기흥구 마북로247번길 108 1층 민가(珉家),322854,524327,경기도 용인시 기흥구 마북동 디저트,"카페,디저트",경기도 용인시 기흥구 마북동 민가,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20민가&sm=hty&style=v5#/list,민가.jpg
올바른 단팥빵&고로케,http://올단고.urr.kr/,"카페,디저트>베이커리",,,경기도 용인시 기흥구 보정동 1266-2 우영프라자,경기도 용인시 기흥구 보정로 115 우영프라자,321782,524585,경기도 용인시 기흥구 마북동 롤케익,베이커리,경기도 용인시 기흥구 마북동 올바른 단팥빵&고로케,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20올바른%20단팥빵&고로케&sm=hty&style=v5#/list,올바른 단팥빵&고로케.jpg
브래드스토리,,"카페,디저트>베이커리",,,경기도 용인시 수지구 풍덕천동 704 현대프라자 108호,경기도 용인시 수지구 수지로342번길 30 현대프라자빌딩,320122,525260,경기도 용인시 기흥구 마북동 롤케익,베이커리,경기도 용인시 기흥구 마북동 브래드스토리,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20브래드스토리&sm=hty&style=v5#/list,브래드스토리.jpg
뚜레쥬르 죽전도담마을점,,"카페,디저트>베이커리",,,경기도 용인시 수지구 죽전동 1261 도담마을 우미이노스빌아파트,경기도 용인시 수지구 푸른솔로 86 도담마을 우미이노스빌아파트,322099,525305,경기도 용인시 기흥구 마북동 롤케익,베이커리,경기도 용인시 기흥구 마북동 뚜레쥬르 죽전도담마을점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20뚜레쥬르%20죽전도담마을점&sm=hty&style=v5#/list,뚜레쥬르 죽전도담마을점.jpg
메가MGC커피 용인마북점,,"카페,디저트>카페",,,경기도 용인시 기흥구 마북동 182-15 테라스가든B빌딩 1층,경기도 용인시 기흥구 마북로154번길 3 테라스가든B빌딩 1층,322542,522802,경기도 용인시 기흥구 마북동 마카롱,카페,경기도 용인시 기흥구 마북동 메가MGC커피 용인마북점,https://m.map.naver.com/search2/search.naver?query=경기도%20용인시%20기흥구%20마북동%20메가MGC커피%20용인마북점&sm=hty&style=v5#/list,메가MGC커피 용인마북점.jpg
